                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0271,                0.96177,                 1.4133,                0.81914,                0.82759,                 0.8898,                0.54262,                 1.3681,                0.79326,                 1.7059,               0.005347,               0.005347,               0.005347
                     50,                 1.0251,                0.96498,                 1.4113,                0.81477,                 0.8416,                0.88278,                0.54023,                 1.3713,                0.78599,                  1.701,               0.005248,               0.005248,               0.005248
                     51,                 1.0191,                0.95745,                 1.4054,                0.83566,                 0.8541,                0.88879,                0.54987,                 1.3413,                0.77271,                 1.6737,               0.005149,               0.005149,               0.005149
                     52,                  1.014,                0.94542,                 1.4007,                0.84435,                0.83871,                0.88806,                0.54662,                 1.3497,                0.77605,                 1.6866,                0.00505,                0.00505,                0.00505
                     53,                 1.0129,                0.94148,                 1.4001,                 0.8281,                0.84983,                0.89361,                0.55161,                 1.3253,                0.77301,                 1.6683,               0.004951,               0.004951,               0.004951
                     54,                0.99946,                0.93434,                 1.3947,                0.82658,                 0.8465,                0.88837,                 0.5522,                 1.3406,                0.77512,                 1.6829,               0.004852,               0.004852,               0.004852
                     55,                  1.002,                0.93268,                 1.3942,                0.82196,                0.83191,                 0.8902,                0.55657,                 1.3274,                0.77635,                 1.6675,               0.004753,               0.004753,               0.004753
                     56,                0.98864,                0.91073,                 1.3789,                0.85444,                0.81758,                0.89483,                0.56213,                  1.328,                0.77325,                 1.6643,               0.004654,               0.004654,               0.004654
                     57,                0.99763,                0.91395,                 1.3842,                0.82043,                 0.8487,                0.89285,                0.54959,                 1.3615,                0.75998,                 1.6966,               0.004555,               0.004555,               0.004555
                     58,                 0.9818,                0.90772,                 1.3757,                 0.8406,                0.82202,                0.88974,                0.55071,                 1.3479,                0.75923,                 1.6786,               0.004456,               0.004456,               0.004456
                     59,                0.98409,                0.90151,                 1.3775,                0.83248,                 0.8402,                0.88933,                0.55647,                 1.3317,                0.76229,                 1.6791,               0.004357,               0.004357,               0.004357
                     60,                0.97107,                0.89278,                 1.3666,                0.81644,                0.84107,                0.88594,                0.54617,                  1.351,                  0.768,                 1.6902,               0.004258,               0.004258,               0.004258
                     61,                0.96992,                0.89104,                 1.3678,                 0.8421,                0.83648,                0.89516,                0.55936,                 1.3223,                0.76333,                 1.6678,               0.004159,               0.004159,               0.004159
                     62,                 0.9742,                0.88724,                 1.3695,                0.84282,                0.82647,                0.89653,                0.56255,                 1.3104,                0.75332,                 1.6524,                0.00406,                0.00406,                0.00406
                     63,                0.96784,                0.86637,                  1.359,                0.84898,                0.81291,                0.89401,                0.55465,                 1.3246,                0.75189,                 1.6583,               0.003961,               0.003961,               0.003961
                     64,                0.95463,                0.85828,                 1.3515,                0.85078,                0.83204,                0.89361,                0.56049,                 1.3279,                0.74619,                 1.6693,               0.003862,               0.003862,               0.003862
                     65,                0.94872,                0.85537,                  1.351,                0.84872,                0.83315,                0.89191,                0.56051,                 1.3133,                0.74771,                 1.6611,               0.003763,               0.003763,               0.003763
                     66,                0.94895,                  0.847,                  1.346,                0.85082,                0.83426,                0.89044,                0.56356,                 1.3014,                0.74836,                 1.6478,               0.003664,               0.003664,               0.003664
                     67,                0.94304,                0.85244,                 1.3451,                0.85877,                0.85226,                0.89708,                0.55891,                 1.3179,                0.75359,                 1.6712,               0.003565,               0.003565,               0.003565
                     68,                0.93951,                0.85056,                 1.3453,                0.85832,                0.83537,                0.89755,                 0.5649,                 1.3172,                0.75804,                 1.6672,               0.003466,               0.003466,               0.003466
                     69,                0.92639,                0.83407,                 1.3327,                0.84552,                0.83871,                 0.8964,                0.56081,                 1.3232,                0.75798,                 1.6714,               0.003367,               0.003367,               0.003367
                     70,                0.92935,                0.82361,                 1.3303,                0.82144,                0.85459,                 0.8936,                 0.5621,                 1.3172,                0.75396,                  1.667,               0.003268,               0.003268,               0.003268
                     71,                0.92774,                0.82619,                 1.3324,                0.84327,                0.84093,                0.89246,                0.56356,                 1.3088,                0.74876,                 1.6611,               0.003169,               0.003169,               0.003169
                     72,                0.91844,                0.82237,                 1.3271,                0.83925,                0.83426,                0.88519,                 0.5665,                 1.3011,                0.74206,                 1.6591,                0.00307,                0.00307,                0.00307
                     73,                0.90907,                0.80347,                 1.3236,                0.82653,                0.84316,                0.88496,                0.56433,                 1.3117,                0.73778,                 1.6691,               0.002971,               0.002971,               0.002971
                     74,                0.91287,                0.80839,                 1.3184,                0.85808,                0.80709,                0.88752,                0.56168,                 1.3195,                0.75018,                 1.6746,               0.002872,               0.002872,               0.002872
                     75,                0.90096,                 0.7956,                 1.3056,                0.85477,                0.81178,                 0.8896,                0.56177,                   1.32,                0.75366,                 1.6748,               0.002773,               0.002773,               0.002773
                     76,                0.89273,                0.79086,                 1.3056,                0.84656,                0.83463,                0.89296,                0.56667,                 1.3175,                0.74984,                 1.6738,               0.002674,               0.002674,               0.002674
                     77,                0.89758,                0.78887,                 1.3075,                0.84583,                0.83537,                0.89433,                0.56402,                 1.3249,                0.74577,                  1.684,               0.002575,               0.002575,               0.002575
                     78,                0.88904,                0.77426,                 1.3004,                0.85048,                0.82885,                0.89383,                0.56146,                 1.3299,                0.74801,                 1.6884,               0.002476,               0.002476,               0.002476
                     79,                0.88682,                0.77744,                 1.3001,                0.85269,                0.82759,                0.89459,                0.56097,                 1.3211,                 0.7498,                 1.6816,               0.002377,               0.002377,               0.002377
                     80,                0.88001,                0.77235,                 1.2985,                0.85874,                0.81819,                0.89512,                0.56464,                 1.3136,                0.75207,                 1.6757,               0.002278,               0.002278,               0.002278
                     81,                0.86852,                0.76351,                 1.2879,                0.85629,                0.82185,                0.89382,                0.56184,                 1.3089,                0.75747,                 1.6738,               0.002179,               0.002179,               0.002179
